,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
10.95_712.3325n,712.3324934,711.325217,1,10.9549,0.399483333,1,0.00064271,0.001970686,96.40510077,CK_L,HI_L,100 - 42.7 - 10.1 - 1.65 - 0.123,19158763.52,17.34,20033179.63,17420492.34,22320580.34,19710845.61,13430828.94,22036654.25,0,477690.2135,2767.845306,0,1465988.468,7738.669548,16399836.92,19544009.46,18283640.03,15144094.32,15338986.7,16699075.81,0,304924.4853,2458.229004,0,698191.3915,7504.299132,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
7.12_514.1314n,514.1314228,513.1241463,1,7.12,0.380266667,0,3.01E-09,6.63E-08,8.403635316,CK_L,HI_L,100 - 24.3 - 5.03,2895452.383,24.54,2395040.294,4145368.184,2338776.591,2322559.877,3056794.641,3114174.712,224655.4792,288914.127,297976.3283,230140.9362,663037.0347,273630.519,1960660.812,4650678.835,1915781.25,1784452.404,3491082.534,2359879.091,196224.1789,184422.8519,264644.1443,22683.66135,315777.8933,265343.4487,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
1.19_440.0925n,440.0924627,439.0851863,1,1.18995,0.351716667,1,9.12E-06,6.00E-05,5.396706509,HI_L,CK_L,100 - 14 - 5.35 - 0.18,629681.1772,33.45,227387.7814,120842.7525,100285.038,69754.9747,82771.54809,99030.63621,789114.5306,560464.4069,889128.3646,651863.7472,783119.2589,631730.9192,186147.3116,135573.2003,82147.3056,53593.63759,94531.14776,75044.06445,689248.0493,357761.8214,789668.8189,64250.44034,372968.2308,612598.5557,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
1.00_166.0465n,166.0465466,165.0392702,1,1.001783333,1.153133333,6,3.65E-05,0.000175414,2.021886881,CK_L,HI_L,100 - 5.03 - 0.76 - 0.017,1491570.659,13.5,1515624.244,1630939.986,1579535.926,1100341.201,1639477.472,1483505.126,727531.2198,689860.8245,584247.2563,1101334.744,704613.9153,564775.3866,1240741.155,1829747.742,1293858.217,845406.1924,1872402.905,1124179.936,635458.4215,440359.5697,518892.2761,108552.1975,335579.2906,547670.813,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.21_530.2355n,530.2355029,529.2282265,1,7.205333333,0.52715,28,3.82E-09,8.27E-08,20.76079952,CK_L,HI_L,100 - 27.1 - 4.98 - 0.235 - 0.188 - 0.0147,1824295.523,13.19,1708227.489,2059131.968,1584792.871,1610207.344,1816098.595,2167314.869,72566.95745,75839.66495,68140.4821,19777.66542,216563.9105,73298.45067,1398412.672,2310135.321,1298164.382,1237142.859,2074117.116,1642361.626,63383.23769,48410.81134,60518.16156,1949.370121,103140.6872,71078.56155,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.12_431.1419n,431.1419011,861.2655309,1,7.12,0.292666667,0,2.67E-08,4.80E-07,231.3156552,CK_L,HI_L,100 - 34.4 - 9.04 - 1.12,896031.968,45.64,931457.5262,543773.9173,926402.147,722390.8089,590340.5145,1661826.894,3400.46068,3768.872189,1889.288666,853.9879201,17117.78927,2762.5958,762522.5655,610058.6814,758851.3882,555022.081,674211.9447,1259309.738,2970.114982,2405.788061,1677.949337,84.17265133,8152.515093,2678.92887,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.09_348.1415n,348.1415463,347.1342699,1,7.089966667,0.38025,7,2.18E-07,2.77E-06,94.63131285,CK_L,HI_L,100 - 18.8 - 2.6 - 0.192,7289705.138,50.66,7643292.123,2558942.958,8955597.195,6631921.977,4685248.493,13263228.08,19840.75179,63369.74688,11585.83662,7631.276139,491062.2175,14321.33983,6257056.876,2870872.098,7335871.776,5095390.322,5350895.662,10050693.21,17329.80313,40450.87571,10289.82348,752.1707633,233873.1992,13887.60915,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.49_489.1494n,489.1493952,977.2911268,1,9.487083333,0.545433333,0,1.67E-06,1.49E-05,19.32311375,CK_L,HI_L,100 - 48.7 - 16.4 - 3.75 - 0.37,7214671.683,39.09,10717928.98,7984712.988,3994752.098,6643283.954,4137504.609,9809847.466,444093.2275,374115.2506,201774.1133,27132.01762,672572.1353,447732.3627,8774058.372,8958030.757,3272254.048,5104119.874,4725332.177,7433768.515,387890.9573,238809.3727,179203.2873,2674.246094,320319.0785,434172.5099,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.60_624.1683n,624.1682578,623.1609814,1,9.600133333,0.834583333,77,6.55E-05,0.000289366,2.149605403,CK_L,HI_L,100 - 27.5 - 6.83 - 1.1,8650235.469,25.35,9306425.478,6214211.973,8685545.305,11421834.59,5724336.806,10549058.67,3059311.607,2544637.862,4373402.154,3187325.402,5465035.677,4029165.614,7618553.967,6971709.825,7114661.957,8775541.332,6537610.337,7993932.673,2672140.071,1624321.304,3884185.289,314156.235,2602776.862,3907139.83,x,x,x,x,,,"M-H, 2M-H",,,,,,,
