,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
1.00_192.0624n,192.0623663,191.0550899,1,1.001783333,0.4971,4,0.000130066,0.000444128,3.204127624,HI_V,CK_V,100 - 8.11 - 1.84,37712086.94,32.45,10412043.41,6192864.645,11642091.49,15324870.03,7709983.502,19337219.64,45763915.27,39590305.13,42879816.23,53056869.12,44815126.87,27490233.23,6891200.472,5739630.864,7411486.13,9609793.59,7047559.743,14728177.68,36665538.09,29272372.15,17342241.02,24567787.05,33112066.88,20039030.62,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
5.57_338.0998n,338.0997821,337.0925057,1,5.572016667,1.00005,6,9.35E-11,1.88E-09,34.3708917,HI_V,CK_V,100 - 17.1 - 0.175,3400675.242,35,99482.93352,68993.51618,71068.69297,113956.1866,52173.08076,187968.9447,3289364.024,3634656.455,4686373.169,5213620.528,4514473.139,1806163.88,65842.67962,63944.12563,45243.12772,71458.70921,47690.49163,143166.3945,2635401.74,2687400.767,1895348.911,2414147.706,3335559.82,1316604.81,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
10.95_712.3325n,712.3324934,711.325217,1,10.9549,0.399483333,1,7.50E-05,0.000275506,225.4794444,CK_V,HI_V,100 - 42.7 - 10.1 - 1.65 - 0.123,16054087.3,13.47,17353000.41,15197661.98,18493884.01,16272855.26,12249171.66,16757950.49,2780.22697,568339.4134,4308.90053,107387.7968,0,11801.26029,11485065.89,14085399.05,11773414.16,10204248.38,11196751.46,12763679.41,2227.486815,420220.1211,1742.684509,49725.52219,0,8602.539468,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
1.19_440.0925n,440.0924627,439.0851863,1,1.18995,0.351716667,1,8.89E-05,0.000318475,6.38652069,HI_V,CK_V,100 - 14 - 5.35 - 0.18,988634.4236,34.76,181103.565,219808.9302,201471.1962,98987.13813,92627.66606,134802.4635,1151826.093,1072784.646,918747.1871,1636613.802,1285340.091,1092334.402,119863.2126,203721.8948,128258.8251,62072.04131,84669.31353,102672.1871,922830.2087,793198.0134,371576.5727,757827.9689,949685.2971,796258.16,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
10.95_412.1515n,412.1514584,823.3073574,1,10.9549,0.2841,31,0.012960174,0.022155747,14.41020442,CK_V,HI_V,100 - 28.4 - 2.49,135990.9667,30.72,166742.5021,87852.59169,178765.4872,143192.3209,80637.3298,158755.5685,8474.516843,1096.037082,5832.708265,9252.216087,23541.08464,20346.87141,110358.3575,81422.97235,113804.1158,89791.86414,73709.15893,120916.0501,6789.688301,810.3904544,2358.970756,4284.204445,17393.54596,14831.87049,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
7.12_514.1314n,514.1314228,513.1241463,1,7.12,0.380266667,0,1.41E-10,2.73E-09,7.923339796,CK_V,HI_V,100 - 24.3 - 5.03,2621320.118,18.13,2561557.911,3512425.352,2404315.499,2098517.72,2636678.861,2514425.367,363429.3708,444159.9289,209772.974,305435.2066,428231.4067,241851.9778,1695364.531,3255363.408,1530614.236,1315921.25,2410141.577,1915110.044,291175.5552,328404.0042,84840.23005,141430.643,316402.6964,176298.2201,x,x,x,x,,,"M-H, M+FA-H, 2M-H",,,,,,,
7.95_376.1076n,376.1076289,751.2068183,1,7.952233333,0.31515,0,0.000588615,0.001609347,160.77012,CK_V,HI_V,100 - 27.3 - 2.93,312602.4404,59.26,187933.9363,569920.1581,128031.2992,218657.6291,520221.6332,250849.9863,2048.20505,2889.194701,4958.659096,2246.700651,0,3483.488547,124383.887,528209.7247,81506.16229,137114.0296,475525.4066,191059.6888,1640.999024,2136.219517,2005.471775,1040.326428,0,2539.292158,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.89_484.1208n,484.1208288,483.1135524,1,6.886133333,0.404883333,1,7.52E-07,5.61E-06,3.293741474,CK_V,HI_V,100 - 21.7 - 2.34,229511.4911,21.45,183507.9336,315482.57,256280.3103,190694.8244,216217.3446,214885.9635,87521.87761,92873.72554,62888.49503,67541.54353,72109.15146,38380.67557,121454.5415,292393.5206,163150.9224,119579.3438,197640.4558,163667.7201,70121.5514,68669.19182,25434.51754,31274.86197,53278.5069,27977.62851,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.60_660.1454n,660.1454184,659.138142,1,9.600133333,0.230033333,0,6.04E-05,0.000228415,3.728080371,CK_V,HI_V,100 - 18.5 - 16.5 - 1.43,365191.7839,23.35,418451.3991,303340.8168,389515.3881,468637.2181,230411.9173,380793.9641,254891.1371,137957.5213,92192.55232,56073.86284,87295.6545,38552.63822,276951.6382,281140.3791,247969.8686,293869.1764,210615.464,290031.4143,204215.9339,102003.3539,37286.20136,25964.79483,64499.19374,28102.98084,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
