,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
9.99_951.2334m/z,712.3308385,713.3381149,1,11.33506667,0.690733333,1,6.05E-10,8.16E-09,185.1927017,CK_L,HI_L,100 - 42.5 - 10 - 1.64 - 0.299,56154379.64,18.41,140209.9296,1819839.137,186104.6606,47343.83321,129034.4139,104627.4506,64800507.31,50514350.06,64169630.45,59162327.7,37827549.27,60451913.06,133028.7683,1380197.156,177102.3457,5331.023939,99088.36017,102245.8792,56941540.99,57637926.36,58561390.62,50893812.01,41002248.44,51835137.19,x,x,x,x,,,"M+H, M+NH4, M+Na, 2M+H",,,,,,,
9.99_929.2519m/z,514.1660864,537.1562851,1,9.93045,0.3919,0,1.78E-06,9.04E-06,11.1998953,CK_L,HI_L,100 - 22.7 - 0.958,1400294.422,33.16,125285.9474,106681.492,128607.0109,60898.42929,116626.8812,172966.028,1607579.048,426554.0572,1876364.844,2179340.789,399629.0075,1912298.787,118869.1508,80909.06986,122385.9909,6857.302471,89560.34331,169028.9069,1412612.833,486707.0705,1712375.991,1874756.535,433168.1054,1639720.978,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.99_767.2004m/z,357.0984036,375.1322292,1,12.93205,0.42235,0,5.53E-10,7.50E-09,17.22200301,HI_L,CK_L,100 - 10.3,14887326.28,16.97,13132566.44,11079881.17,15715536.86,18221617.23,18774034.66,14509958.55,973563.1749,353356.1032,829060.2139,1719463.918,381979.0065,929195.9823,12459953.04,8403171.562,14955339.82,2051795.791,14416993.51,14179677.14,855490.0221,403186.6792,756602.7526,1479151.967,414036.8178,796748.999,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.99_578.1620n,854.2811663,877.270283,1,10.55255,0.3165,0,0.00158315,0.002639913,39.55583258,CK_L,HI_L,100 - 36.4 - 7.01,943099.3656,45.82,15043.70857,3569.017222,7248.964762,0,10643.21194,12626.20789,769452.103,327780.3514,984988.6124,848999.2043,1646843.207,1080532.716,14273.2118,2706.803761,6898.315491,0,8173.156184,12338.80516,676133.4176,374004.2133,898903.4607,730343.2367,1785055.485,926514.2942,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.99_539.2515m/z,352.0991776,375.0885853,1,6.40655,0.617833333,0,9.95E-07,5.52E-06,3.119338477,CK_L,HI_L,100 - 13.6 - 2.34,1885082.928,23.56,403712.7564,469644.4646,786387.3701,469870.7161,859280.2003,459323.1207,1398362.487,1916962.716,1921438.207,1438426.388,2023121.169,2612186.603,383035.7157,356186.402,748347.9856,52908.51767,659860.1363,448867.8263,1228769.931,2187294.417,1753510.073,1237392.189,2192912.795,2239847.245,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.99_385.2060n,314.0625467,337.0517108,1,5.40035,0.834366667,4,4.80E-10,6.63E-09,4.775383572,CK_L,HI_L,100 - 13.2 - 0.656 - 0.0181,1548513.093,11.62,370042.9424,461305.339,287862.1977,201922.2375,388762.8062,354418.7383,1549916.175,1363230.613,1530625.723,1703306.383,1345873.484,1798126.179,351090.3756,349861.8663,273937.6342,22736.90593,298539.4965,346351.3189,1361943.279,1555474.545,1396853.468,1465252.607,1458826.703,1541822.457,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.99_271.0591m/z,281.1405921,282.1478685,1,11.33506667,0.60805,2,8.61E-11,1.29E-09,20.22484002,HI_L,CK_L,100 - 22.2 - 0.134,5397222.543,29.42,5819151.93,5257757.538,3327728.127,3378627.897,6340291.71,7049076.612,252152.5269,354538.5867,205460.128,410850.8958,153772.3465,224391.9645,5521111.208,3987573.326,3166758.185,380441.2313,4868849.242,6888622.744,221571.621,404535.9176,187503.5079,353430.4526,166677.7806,192407.2817,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
9.96_660.2262m/z,366.1516586,389.1406508,1,7.9916,1.1069,0,2.83E-13,5.35E-12,22.51830634,CK_L,HI_L,100 - 17.8 - 2.46,8458770.205,21.68,389931.7395,384470.437,414505.1118,442659.8611,374665.6163,243681.876,7080690.353,7317272.877,10049253.29,5948238.98,10951046.53,9406119.201,369960.524,291588.9613,394454.5363,49844.51314,287713.9548,238135.0928,6221948.512,8349160.876,9170977.657,5116914.23,11870119.51,8065377.165,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.96_580.2930m/z,357.0983781,375.1322037,1,11.96485,0.4822,0,1.41E-06,7.43E-06,2.928944412,HI_L,CK_L,100 - 11.1 - 0.16,8601183.115,20.83,11319360.32,9149689.034,9033450.488,4817508.063,7564006.434,10331491.58,2980500.914,2719093.342,2754403.322,4157715.215,1639352.597,3368626.702,10739614.27,6939280.8,8596481.496,542462.4301,5808566.652,10096322.09,2619027.567,3102542.181,2513676.45,3576633.726,1776936.221,2888464.871,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.93_514.1661n,490.1669155,513.1561361,1,6.5435,0.53175,49,1.30E-08,1.39E-07,3.725137812,CK_L,HI_L,100 - 22.7 - 2.95,1228589.344,11.93,280122.1161,400792.9509,223339.3801,404357.3044,312404.1754,280346.811,1355838.619,1283355.457,1083429.638,1220905.262,1031471.225,1396535.862,265775.0431,303968.2353,212535.9353,45531.55762,239902.027,273965.4461,1191403.332,1464335.327,988741.0259,1050271.774,1118038.051,1197474.56,x,x,x,x,,,"M+NH4, M+Na, 2M+H",,,,,,,
9.90_978.2965n,872.2912254,895.2798509,1,9.683,0.3008,0,0.00043832,0.000910142,104.895906,CK_L,HI_L,100 - 35.6 - 4.5,923438.6362,22.76,9737.112922,0,0,17057.73448,0,0,929040.7216,550874.2337,961488.4191,1189479.79,1017531.482,892217.1716,9238.405172,0,0,1920.739929,0,0,816367.225,628558.9833,877457.1162,1023238.32,1102928.406,765041.1236,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.90_817.2515m/z,772.2393399,795.2284729,1,8.738783333,0.394016667,0,6.05E-07,3.67E-06,4.891985523,CK_L,HI_L,100 - 35.2 - 7.93 - 0.734,3677550.229,26.91,521429.784,573390.8962,686629.252,1157014.635,828685.2144,361879.9478,3603778.476,2674030.965,3787148.604,4335359.684,2530254.489,5134729.156,494723.6056,434869.4717,653415.3994,130282.4951,636365.5748,353642.6934,3166714.403,3051125.069,3456162.786,3729450.638,2742607.576,4402828.244,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.87_579.1330m/z,306.2180154,329.2074978,1,14.03853333,1.223233333,11,1.14E-06,6.17E-06,2.695047384,HI_L,CK_L,100 - 19.3 - 0.11,1451635.424,13.81,1328753.166,1135379.598,1679263.089,1231113.332,2456790.12,1280828.116,563343.815,574315.0447,597025.9209,604044.3093,470157.6848,422897.7916,1260698.137,861091.3239,1598033.231,138626.1779,1886623.087,1251673.4,495021.818,655305.4372,544847.5847,519623.1913,509615.9432,362618.219,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.87_523.1429m/z,514.1303285,537.11963,1,7.630383333,0.3595,0,9.92E-07,5.50E-06,6.868189297,CK_L,HI_L,100 - 23 - 1.48,1740450.124,12.32,113755.0069,184651.9584,157449.2644,767982.6931,331575.9937,135114.4731,1565221.114,1986076.27,1644606.355,1540294.581,1674315.611,2032186.812,107928.7929,140043.2063,149833.0776,86476.60834,254624.4873,132038.944,1375392.045,2266154.423,1500872.523,1325023.303,1814833.527,1742520.242,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
