,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
11.34_712.3308n,712.3308385,713.3381149,1,11.33506667,0.690733333,1,1.54E-13,2.50E-12,292.7210596,CK_V,HI_V,100 - 42.5 - 10 - 1.64 - 0.299,53444818.82,17.84,59696941.46,46820196.57,65633579.43,51013526.03,39446335.74,58058333.7,218609.9563,158851.6087,88278.28431,488215.7687,200335.5543,111204.257,49074156.53,47861000.26,36723474.2,38427080.95,40029843.83,48103746.06,194645.1522,126749.3951,47599.81749,279317.5481,174411.8892,89492.89895,x,x,x,x,,,"M+H, M+NH4, M+Na, 2M+H",,,,,,,
12.93_357.0984n,357.0984036,375.1322292,1,12.93205,0.42235,0,2.44E-12,3.45E-11,21.2778728,HI_V,CK_V,100 - 10.3,12979224.33,15.71,728926.1733,389220.208,572846.9072,808836.4922,325964.7567,834127.0494,16064794.37,12311144.57,12831971.65,12543496.91,15118445.05,11648456.74,599217.2505,397872.496,320520.8188,609274.2021,330786.5753,691108.9798,14303714.24,9823193.736,6919023.327,7176373.698,13162099.82,9374228.916,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
11.34_281.1406n,281.1405921,282.1478685,1,11.33506667,0.60805,2,7.21E-10,7.00E-09,21.83684842,HI_V,CK_V,100 - 22.2 - 0.134,4885506.349,31.69,217150.0801,283474.008,194636.6267,300418.9038,103667.8682,243018.2947,3540575.306,3497188.217,2496857.564,5145650.778,8283591.532,5823007.927,178509.2629,289775.579,108903.6009,226297.2673,105201.3703,201350.7725,3152444.796,2790443.829,1346310.31,2943924.901,7211684.683,4686132.295,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
5.40_314.0625n,314.0625467,337.0517108,1,5.40035,0.834366667,4,6.78E-10,6.64E-09,5.135701611,CK_V,HI_V,100 - 13.2 - 0.656 - 0.0181,1960571.114,15.91,2073115.32,1855218.663,2069340.901,2117792.016,1382882.863,2265076.92,285777.9611,330420.5556,388513.0628,487944.2187,484318.479,382267.1799,1704214.374,1896459.806,1157843.102,1595274.265,1403339.094,1876710.509,254449.9603,263646.0903,209486.9766,279162.1891,421647.077,307633.8894,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.68_872.2912n,872.2912254,895.2798509,1,9.683,0.3008,0,0.003386758,0.004240254,31.25467001,CK_V,HI_V,100 - 35.6 - 4.5,729839.2375,15.43,629866.59,570862.2662,874951.2348,791898.3596,786188.698,725268.2762,0,22766.30234,0,8077.226232,8774.429579,3789.441615,517784.8457,583552.4212,489555.0324,596515.1744,797818.3578,600914.9551,0,18165.47579,0,4621.135102,7639.007687,3049.596524,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
13.47_276.2081n,276.2080994,277.2153758,1,13.46886667,2.5934,74,1.34E-05,3.53E-05,2.026391151,HI_V,CK_V,100 - 22.7 - 1.39,30330359.09,13.58,18468459.52,12312009.88,15616976.53,14276865.96,14826535.68,14305187.37,36478881.03,32670346.54,36122997.05,21053813.16,38877054.03,22631419.21,15182085.56,12585703.42,8738052.075,10754369.02,15045856.52,11852443.17,32479935.81,26068018.43,19477588.18,12045287.86,33846315.82,18212893.7,x,x,x,x,,,"M+H, M+Na, 2M+H",,,,,,,
9.10_858.2393n,858.2393312,881.2286109,1,9.103766667,0.5025,0,1.20E-06,4.48E-06,4.653161666,CK_V,HI_V,100 - 37.9 - 9.41 - 0.637,4858909.849,28.24,4603820.26,3317161.283,5801183.352,6302878.981,3181623.359,5946791.857,594719.7337,804138.9458,1219033.887,937497.0677,843925.6613,674423.4029,3784592.486,3390901.121,3245893.474,4747784.749,3228687.375,4927164.581,529524.4325,641631.0532,657305.3722,536359.9438,734720.6513,542749.9546,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
9.93_514.1661n,514.1660864,537.1562851,1,9.93045,0.3919,0,5.74E-09,4.47E-08,18.72408687,CK_V,HI_V,100 - 22.7 - 0.958,1727563.272,27.82,2133341.709,653015.9242,2451198.897,2226916.422,667726.8223,2233179.86,128844.777,96308.0389,71595.33661,56565.60172,87819.59584,78018.34409,1753723.765,667532.3388,1371501.299,1677474.668,677604.1404,1850282.467,114720.3524,76845.21284,38604.34061,32362.25904,76455.63301,62786.1556,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
10.55_854.2812n,854.2811663,877.270283,1,10.55255,0.3165,0,1.17E-05,3.18E-05,23.59097397,CK_V,HI_V,100 - 36.4 - 7.01,670502.5534,25.68,478823.0123,481798.5538,759274.8913,624593.61,906143.2042,772382.0487,6021.312781,1380.825875,273.2658947,7108.409995,14760.26443,6382.435244,393618.7496,492508.8401,424831.4983,470489.1248,919547.2856,639950.6766,5361.234969,1101.775714,147.3454861,4066.856864,12850.26821,5136.337832,x,x,x,x,,,"M+H, M+NH4, M+Na",,,,,,,
